,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_bat_speed,-0.005,0.032,-0.069,0.058,0.0,0.0,9818.0,4853.0,1.0
beta_swing_length,-0.18,0.037,-0.249,-0.106,0.0,0.0,8112.0,5261.0,1.0
beta_release_speed,0.093,0.033,0.026,0.156,0.0,0.0,8612.0,4560.0,1.0
beta_inning,-0.037,0.008,-0.053,-0.022,0.0,0.0,7963.0,4956.0,1.0
beta_outs_when_up,-0.004,0.033,-0.067,0.06,0.0,0.0,9209.0,4698.0,1.0
beta_balls,-0.051,0.024,-0.099,-0.004,0.0,0.0,7874.0,4671.0,1.0
alpha_release_speed,0.014,0.007,0.0,0.029,0.0,0.0,9701.0,4657.0,1.0
alpha_bat_speed,0.006,0.001,0.003,0.008,0.0,0.0,10889.0,4449.0,1.0
alpha_swing_length,0.001,1.002,-2.037,1.937,0.01,0.016,9299.0,3795.0,1.0
foul_prob[0],0.356,0.014,0.328,0.383,0.0,0.0,7622.0,5511.0,1.0
foul_prob[1],0.457,0.015,0.429,0.485,0.0,0.0,8136.0,4903.0,1.0
foul_prob[2],0.237,0.02,0.2,0.276,0.0,0.0,7194.0,5376.0,1.0
foul_prob[3],0.405,0.022,0.362,0.448,0.0,0.0,8675.0,5280.0,1.0
foul_prob[4],0.494,0.018,0.458,0.529,0.0,0.0,8353.0,4822.0,1.0
foul_prob[5],0.528,0.01,0.508,0.548,0.0,0.0,8128.0,5457.0,1.0
foul_prob[6],0.336,0.015,0.306,0.365,0.0,0.0,6940.0,5156.0,1.0
foul_prob[7],0.344,0.013,0.319,0.37,0.0,0.0,6596.0,5163.0,1.0
foul_prob[8],0.569,0.014,0.543,0.595,0.0,0.0,7975.0,5882.0,1.0
foul_prob[9],0.52,0.019,0.481,0.557,0.0,0.0,7875.0,5662.0,1.0
foul_prob[10],0.361,0.019,0.325,0.399,0.0,0.0,7832.0,5473.0,1.0
foul_prob[11],0.401,0.02,0.363,0.44,0.0,0.0,9298.0,5153.0,1.0
foul_prob[12],0.53,0.015,0.501,0.558,0.0,0.0,8130.0,5512.0,1.0
foul_prob[13],0.348,0.014,0.319,0.374,0.0,0.0,7082.0,5900.0,1.0
foul_prob[14],0.404,0.015,0.376,0.432,0.0,0.0,6698.0,5074.0,1.0
foul_prob[15],0.5,0.022,0.458,0.544,0.0,0.0,7901.0,5818.0,1.0
foul_prob[16],0.455,0.015,0.425,0.485,0.0,0.0,8932.0,5622.0,1.0
foul_prob[17],0.479,0.016,0.447,0.51,0.0,0.0,7805.0,5903.0,1.0
foul_prob[18],0.391,0.018,0.357,0.428,0.0,0.0,7820.0,5436.0,1.0
foul_prob[19],0.499,0.011,0.478,0.522,0.0,0.0,8618.0,5438.0,1.0
foul_prob[20],0.358,0.012,0.333,0.379,0.0,0.0,6589.0,5325.0,1.0
foul_prob[21],0.403,0.013,0.376,0.427,0.0,0.0,8822.0,5542.0,1.0
foul_prob[22],0.331,0.024,0.284,0.379,0.0,0.0,8640.0,5041.0,1.0
foul_prob[23],0.532,0.017,0.499,0.563,0.0,0.0,9564.0,5186.0,1.0
foul_prob[24],0.447,0.018,0.411,0.483,0.0,0.0,9258.0,5016.0,1.0
foul_prob[25],0.359,0.02,0.323,0.399,0.0,0.0,8441.0,5568.0,1.0
foul_prob[26],0.29,0.021,0.249,0.332,0.0,0.0,8053.0,5440.0,1.0
foul_prob[27],0.433,0.014,0.404,0.46,0.0,0.0,6838.0,5541.0,1.0
foul_prob[28],0.485,0.015,0.455,0.512,0.0,0.0,7141.0,5134.0,1.0
foul_prob[29],0.426,0.015,0.397,0.457,0.0,0.0,8500.0,4833.0,1.0
foul_prob[30],0.395,0.016,0.364,0.426,0.0,0.0,8305.0,5038.0,1.0
foul_prob[31],0.364,0.016,0.333,0.394,0.0,0.0,8120.0,5811.0,1.0
foul_prob[32],0.311,0.021,0.271,0.351,0.0,0.0,7904.0,5312.0,1.0
foul_prob[33],0.355,0.021,0.316,0.397,0.0,0.0,7792.0,5321.0,1.0
foul_prob[34],0.455,0.016,0.423,0.486,0.0,0.0,7447.0,5226.0,1.0
foul_prob[35],0.564,0.016,0.532,0.595,0.0,0.0,7843.0,5059.0,1.0
foul_prob[36],0.329,0.016,0.297,0.36,0.0,0.0,7694.0,5510.0,1.0
foul_prob[37],0.415,0.017,0.38,0.447,0.0,0.0,8340.0,5075.0,1.0
foul_prob[38],0.374,0.02,0.334,0.411,0.0,0.0,7617.0,5371.0,1.0
foul_prob[39],0.403,0.012,0.379,0.425,0.0,0.0,7205.0,4875.0,1.0
foul_prob[40],0.353,0.02,0.315,0.391,0.0,0.0,7572.0,5241.0,1.0
foul_prob[41],0.444,0.009,0.426,0.461,0.0,0.0,6708.0,5211.0,1.0
foul_prob[42],0.487,0.008,0.472,0.505,0.0,0.0,9083.0,4914.0,1.0
foul_prob[43],0.349,0.025,0.3,0.398,0.0,0.0,7961.0,4790.0,1.0
foul_prob[44],0.417,0.018,0.382,0.451,0.0,0.0,8026.0,5131.0,1.0
foul_prob[45],0.358,0.019,0.32,0.393,0.0,0.0,8205.0,5137.0,1.0
