,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_bat_speed,0.062,0.063,-0.066,0.182,0.001,0.001,9909.0,7176.0,1.0
beta_swing_length,-0.285,0.057,-0.396,-0.176,0.001,0.0,11009.0,7681.0,1.0
beta_release_speed,0.094,0.049,0.002,0.191,0.0,0.0,10505.0,7563.0,1.0
beta_inning,-0.038,0.008,-0.054,-0.022,0.0,0.0,10916.0,8025.0,1.0
beta_outs_when_up,-0.005,0.032,-0.069,0.055,0.0,0.0,11884.0,8271.0,1.0
beta_balls,-0.048,0.025,-0.096,0.001,0.0,0.0,10901.0,6976.0,1.0
beta_inning_bat_speed,-0.014,0.011,-0.035,0.007,0.0,0.0,10245.0,7874.0,1.0
beta_outs_release_speed,-0.004,0.035,-0.072,0.066,0.0,0.0,9984.0,7009.0,1.0
beta_balls_swing_length,0.073,0.03,0.012,0.13,0.0,0.0,10977.0,7068.0,1.0
alpha_release_speed,0.014,0.007,0.0,0.029,0.0,0.0,13866.0,7284.0,1.0
alpha_bat_speed,0.006,0.001,0.003,0.008,0.0,0.0,12600.0,7375.0,1.0
alpha_swing_length,0.01,1.005,-1.891,2.012,0.009,0.01,12672.0,7193.0,1.0
foul_prob[0],0.34,0.015,0.312,0.371,0.0,0.0,10535.0,8801.0,1.0
foul_prob[1],0.466,0.016,0.434,0.495,0.0,0.0,11717.0,8991.0,1.0
foul_prob[2],0.291,0.04,0.213,0.368,0.0,0.0,10502.0,9651.0,1.0
foul_prob[3],0.392,0.023,0.35,0.437,0.0,0.0,11559.0,8847.0,1.0
foul_prob[4],0.493,0.022,0.449,0.536,0.0,0.0,11637.0,8213.0,1.0
foul_prob[5],0.531,0.015,0.502,0.56,0.0,0.0,9654.0,7795.0,1.0
foul_prob[6],0.357,0.019,0.319,0.392,0.0,0.0,10396.0,8553.0,1.0
foul_prob[7],0.351,0.016,0.319,0.381,0.0,0.0,10441.0,9358.0,1.0
